ticker,logoid,svg_file
NVDA,nvidia,nvidia.svg
AAPL,apple,apple.svg
GOOGL,alphabet,alphabet.svg
GOOG,alphabet,alphabet.svg
MSFT,microsoft,microsoft.svg
AMZN,amazon,amazon.svg
AVGO,broadcom,broadcom.svg
META,meta-platforms,meta-platforms.svg
TSLA,tesla,tesla.svg
MU,micron-technology,micron-technology.svg
LLY,eli-lilly,eli-lilly.svg
BRK.B,berkshire-hathaway,berkshire-hathaway.svg
JPM,jpmorgan-chase,jpmorgan-chase.svg
AMD,advanced-micro-devices,advanced-micro-devices.svg
WMT,walmart,walmart.svg
V,visa,visa.svg
XOM,,
JNJ,johnson-and-johnson,johnson-and-johnson.svg
INTC,intel,intel.svg
MA,mastercard,mastercard.svg
ABBV,abbvie,abbvie.svg
AMAT,applied-materials,applied-materials.svg
CSCO,cisco,cisco.svg
BAC,bank-of-america,bank-of-america.svg
CAT,caterpillar,caterpillar.svg
COST,costco-wholesale,costco-wholesale.svg
LRCX,lam-research,lam-research.svg
CVX,chevron,chevron.svg
UNH,unitedhealth,unitedhealth.svg
GE,ge-aerospace,ge-aerospace.svg
KO,coca-cola,coca-cola.svg
ORCL,oracle,oracle.svg
PG,procter-and-gamble,procter-and-gamble.svg
MS,morgan-stanley,morgan-stanley.svg
HD,home-depot,home-depot.svg
MRK,merck-and-co,merck-and-co.svg
GS,golden-sachs-etf-trust-goldman,golden-sachs-etf-trust-goldman.svg
PM,philip-morris,philip-morris.svg
PLTR,palantir,palantir.svg
DELL,dell,dell.svg
NFLX,netflix,netflix.svg
RTX,raytheon,raytheon.svg
KLAC,kla-tencor,kla-tencor.svg
GEV,ge-verona,ge-verona.svg
PANW,palo-alto-networks,palo-alto-networks.svg
WFC,wells-fargo,wells-fargo.svg
TXN,texas-instruments,texas-instruments.svg
SNDK,sandisk,sandisk.svg
LIN,linde,linde.svg
AXP,american-express,american-express.svg
C,citigroup,citigroup.svg
ANET,arista-networks,arista-networks.svg
TMO,thermo-fisher-scientific,thermo-fisher-scientific.svg
STX,seagate,seagate.svg
AMGN,amgen,amgen.svg
TMUS,t-mobile,t-mobile.svg
APH,amphenol,amphenol.svg
IBM,international-bus-mach,international-bus-mach.svg
WDC,webster-financial,webster-financial.svg
NEE,nextera-energy,nextera-energy.svg
MCD,mcdonalds,mcdonalds.svg
CRWD,crowdstrike,crowdstrike.svg
VZ,verizon,verizon.svg
PEP,pepsico,pepsico.svg
ADI,analog-devices,analog-devices.svg
UNP,union-pacific,union-pacific.svg
MRVL,marvell-tech,marvell-tech.svg
QCOM,qualcomm,qualcomm.svg
SCHW,schwab,schwab.svg
ABT,abbott,abbott.svg
WELL,welltower-indrn,welltower-indrn.svg
BLK,blackrock,blackrock.svg
TJX,tjx-cos,tjx-cos.svg
BA,boeing,boeing.svg
DE,deere,deere.svg
GILD,gilead,gilead.svg
DIS,walt-disney,walt-disney.svg
ETN,eaton,eaton.svg
T,at-and-t,at-and-t.svg
IBKR,interactive-brokers-group,interactive-brokers-group.svg
BX,blackstone,blackstone.svg
COP,conocophillips,conocophillips.svg
PFE,pfizer,pfizer.svg
UBER,uber,uber.svg
CVS,cvs-health,cvs-health.svg
PLD,prologis,prologis.svg
CB,chubb,chubb.svg
GLW,corning,corning.svg
APP,applovin-cdr-cad-hedged,applovin-cdr-cad-hedged.svg
BKNG,booking,booking.svg
DHR,danaher,danaher.svg
LMT,lockheed-martin,lockheed-martin.svg
CRM,salesforce,salesforce.svg
BMY,bristol-myers-squibb,bristol-myers-squibb.svg
SPGI,s-and-p-global,s-and-p-global.svg
PH,parker-hannifin,parker-hannifin.svg
COF,capital-one,capital-one.svg
SYK,stryker,stryker.svg
VRTX,vertex-pharmaceutical,vertex-pharmaceutical.svg
MO,altria,altria.svg
PGR,progressive-ohio,progressive-ohio.svg
SBUX,starbucks,starbucks.svg
VRT,vertiv-holdings,vertiv-holdings.svg
ISRG,intuitive-surgical,intuitive-surgical.svg
HWM,howmet-aerospace,howmet-aerospace.svg
LOW,lowe-s,lowe-s.svg
FTNT,fortinet,fortinet.svg
BNY,bank-of-new-york-mellon,bank-of-new-york-mellon.svg
SO,southern,southern.svg
MDT,medtronic,medtronic.svg
TT,trane-technologies,trane-technologies.svg
GD,general-dynamics,general-dynamics.svg
EQIX,equinix,equinix.svg
DUK,duke-energy,duke-energy.svg
NEM,newmont,newmont.svg
PNC,pnc-financial,pnc-financial.svg
USB,us-bancorp,us-bancorp.svg
PWR,quanta-services,quanta-services.svg
UPS,united-parcel,united-parcel.svg
CSX,csx,csx.svg
CEG,constellation-energy-cad-hedged-cibc-cdr,constellation-energy-cad-hedged-cibc-cdr.svg
NOW,servicenow,servicenow.svg
ADP,automatic-data-processing,automatic-data-processing.svg
MAR,marriott,marriott.svg
MCK,mckesson,mckesson.svg
WM,waste-management,waste-management.svg
CME,cme,cme.svg
VLO,valero-energy,valero-energy.svg
MPC,marathon-petroleum,marathon-petroleum.svg
WMB,williams,williams.svg
CDNS,cadence-design-systems,cadence-design-systems.svg
CMI,cummins,cummins.svg
MNST,monster-beverage,monster-beverage.svg
HOOD,robinhood,robinhood.svg
FCX,freeport-mcmoran,freeport-mcmoran.svg
JCI,johnson-controls,johnson-controls.svg
MMM,3m,3m.svg
DDOG,datadog,datadog.svg
KKR,kkr,kkr.svg
PSX,phillips-66,phillips-66.svg
ADBE,adobe,adobe.svg
MRSH,marsh-and-mclennan,marsh-and-mclennan.svg
ACN,accenture,accenture.svg
HCA,hca-healthcare,hca-healthcare.svg
MCO,moodys,moodys.svg
ELV,anthem,anthem.svg
CMCSA,comcast,comcast.svg
ABNB,airbnb,airbnb.svg
CTAS,cintas,cintas.svg
ICE,intercontinental-exchange,intercontinental-exchange.svg
EMR,emerson,emerson.svg
ITW,illinois-tool-works,illinois-tool-works.svg
NSC,norfolk-southern,norfolk-southern.svg
HON,,
TRV,travelers,travelers.svg
AMT,american-tower,american-tower.svg
EOG,eog,eog.svg
MDLZ,mondelez,mondelez.svg
NOC,northrop-grumman,northrop-grumman.svg
SHW,sherwin-williams,sherwin-williams.svg
INTU,intuit,intuit.svg
CI,cigna,cigna.svg
RCL,royal-caribbean-cruises,royal-caribbean-cruises.svg
ROST,ross-stores,ross-stores.svg
AON,aon,aon.svg
FDX,fedex,fedex.svg
ECL,ecolab,ecolab.svg
SPG,simon-property,simon-property.svg
DASH,doordash,doordash.svg
AEP,american-electric-power,american-electric-power.svg
KMI,kinder-morgan,kinder-morgan.svg
HLT,hilton-worldwide,hilton-worldwide.svg
URI,united-rentals,united-rentals.svg
SLB,schlumberger,schlumberger.svg
CL,colgate-palmolive,colgate-palmolive.svg
SNPS,synopsys,synopsys.svg
ORLY,o-reilly-auto,o-reilly-auto.svg
PCAR,paccar,paccar.svg
GM,general-motors,general-motors.svg
APO,apollo,apollo.svg
NXPI,nxp-semiconductors,nxp-semiconductors.svg
REGN,regeneron-pharmaceuticals,regeneron-pharmaceuticals.svg
TDG,transdigm-group,transdigm-group.svg
MPWR,monolithic-power-system,monolithic-power-system.svg
MSI,motorola-solutions,motorola-solutions.svg
RSG,republic-services,republic-services.svg
CVNA,carvana,carvana.svg
APD,air-products-and-chemicals,air-products-and-chemicals.svg
CRH,crh,crh.svg
LITE,lumentum-hldgs,lumentum-hldgs.svg
WBD,warner-bros-discovery,warner-bros-discovery.svg
ALL,allstate,allstate.svg
FIX,comfort-systems-usa,comfort-systems-usa.svg
DLR,digital-realty-trust-5850-series-k-cumulative-redeemable-preferred-stock-par-value-001-per-share,digital-realty-trust-5850-series-k-cumulative-redeemable-preferred-stock-par-value-001-per-share.svg
GWW,grainger,grainger.svg
HPE,hewlett-packard-enterprise,hewlett-packard-enterprise.svg
BSX,boston-scientific,boston-scientific.svg
TFC,truist-financial,truist-financial.svg
HONA,,
D,dominion-energy,dominion-energy.svg
AFL,aflac,aflac.svg
AJG,gallagher,gallagher.svg
TRGP,targa-resources,targa-resources.svg
COHR,coherent,coherent.svg
SRE,sempra-energy,sempra-energy.svg
TGT,target,target.svg
NKE,nike,nike.svg
O,realty-income,realty-income.svg
COR,amerisourcebergen,amerisourcebergen.svg
MET,metlife,metlife.svg
CTVA,corteva,corteva.svg
OKE,oneok,oneok.svg
FANG,diamondback,diamondback.svg
PSA,public-storage,public-storage.svg
TER,teradyne,teradyne.svg
OXY,occidental-petroleum,occidental-petroleum.svg
CIEN,ciena,ciena.svg
TEL,te-connectivity,te-connectivity.svg
CARR,carrier-global-corporation,carrier-global-corporation.svg
BKR,baker-hughes,baker-hughes.svg
KEYS,keysight-technologies,keysight-technologies.svg
LHX,l3-harris,l3-harris.svg
F,ford,ford.svg
VST,vistra-energy,vistra-energy.svg
NUE,nucor,nucor.svg
AME,ametek,ametek.svg
DAL,delta-air-lines,delta-air-lines.svg
ETR,entergy,entergy.svg
DVN,devon-energy,devon-energy.svg
CAH,cardinal-health,cardinal-health.svg
FAST,fastenal,fastenal.svg
EA,electronic-arts,electronic-arts.svg
NDAQ,nasdaq,nasdaq.svg
STT,state-street,state-street.svg
FITB,fifth-third-bancorp,fifth-third-bancorp.svg
ROK,rockwell-automation,rockwell-automation.svg
XEL,xcel-energy,xcel-energy.svg
WAB,wabtec,wabtec.svg
PYPL,paypal,paypal.svg
VTR,ventas,ventas.svg
EW,edwards,edwards.svg
EXC,exelon,exelon.svg
AZO,autozone,autozone.svg
ODFL,old-dominion,old-dominion.svg
EBAY,ebay,ebay.svg
FLEX,flex,flex.svg
HUM,humana,humana.svg
AMP,ameriprise-financial,ameriprise-financial.svg
GRMN,garmin-ltd,garmin-ltd.svg
XYZ,block,block.svg
MCHP,microchip-technology,microchip-technology.svg
ADSK,autodesk,autodesk.svg
IDXX,idexx-laboratories,idexx-laboratories.svg
TTWO,take-two-interactive-software,take-two-interactive-software.svg
BDX,becton-dickinson,becton-dickinson.svg
ADM,archer-daniels-midland,archer-daniels-midland.svg
COIN,coinbase,coinbase.svg
AIG,american-international,american-international.svg
ED,consolidated-edison,consolidated-edison.svg
LYV,live-nation,live-nation.svg
CMG,chipotle-mexican-grill,chipotle-mexican-grill.svg
YUM,yum-brands,yum-brands.svg
KDP,keurig-dr-pepper,keurig-dr-pepper.svg
MSCI,msci,msci.svg
PRU,prudential,prudential.svg
CBRE,cbre-group,cbre-group.svg
PEG,public-service-enterprise,public-service-enterprise.svg
DHI,dr-horton,dr-horton.svg
AXON,axon-enterprise,axon-enterprise.svg
PCG,pg-and-e,pg-and-e.svg
A,agilent-technologies,agilent-technologies.svg
PAYX,paychex,paychex.svg
HIG,hartford-financial-services-grp,hartford-financial-services-grp.svg
SYY,sysco,sysco.svg
WAT,waters,waters.svg
WEC,wec-energy,wec-energy.svg
IRM,iron-mountain-incorporated-delaware,iron-mountain-incorporated-delaware.svg
UAL,united-airlines,united-airlines.svg
ROP,roper-technologies,roper-technologies.svg
KVUE,kenvue,kenvue.svg
VMC,vulcan-materials,vulcan-materials.svg
KMB,kimberly-clark,kimberly-clark.svg
MTB,m-and-t-bank,m-and-t-bank.svg
HBAN,huntington-bancshares,huntington-bancshares.svg
ACGL,arch-capital,arch-capital.svg
CCL,carnival,carnival.svg
STLD,steel-dynamics,steel-dynamics.svg
HSY,hershey,hershey.svg
IQV,iqvia,iqvia.svg
ON,on-semiconductor,on-semiconductor.svg
TKO,tko,tko.svg
KR,kroger,kroger.svg
EME,emcor,emcor.svg
EQT,eqt,eqt.svg
CCI,crown-castle-international,crown-castle-international.svg
JBL,jabil,jabil.svg
NTAP,netapp,netapp.svg
MLM,martin-marietta,martin-marietta.svg
NTRS,northern-trust,northern-trust.svg
IR,ingersoll-rand,ingersoll-rand.svg
CASY,casey-s-general-stores,casey-s-general-stores.svg
RJF,raymond-james,raymond-james.svg
WDAY,workday,workday.svg
CNC,centene,centene.svg
AEE,ameren,ameren.svg
ZTS,zoetis,zoetis.svg
EIX,edison-international,edison-international.svg
DTE,dte-energy,dte-energy.svg
EXR,extra-space-storage,extra-space-storage.svg
TDY,teledyne-technologies,teledyne-technologies.svg
CBOE,cboe-global-markets,cboe-global-markets.svg
KHC,kraft-heinz,kraft-heinz.svg
LVS,las-vegas-sands,las-vegas-sands.svg
EXPE,expedia,expedia.svg
CFG,citizens-financial-group,citizens-financial-group.svg
BIIB,biogen,biogen.svg
ATO,atmos-energy,atmos-energy.svg
TPL,texas-pacific-land-corporation,texas-pacific-land-corporation.svg
VEEV,veeva-systems,veeva-systems.svg
NRG,nrg-energy,nrg-energy.svg
Q,qnity-electronics,qnity-electronics.svg
CNP,centerpoint-energy,centerpoint-energy.svg
FE,firstenergy,firstenergy.svg
EL,estee-lauder,estee-lauder.svg
TPR,tapestry,tapestry.svg
VICI,vici-properties,vici-properties.svg
